measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Suriname,Both,Age-standardized,Asthma,Rate,1990,362.3524246556212,479.1497013430226,275.89028711889165
DALYs (Disability-Adjusted Life Years),Sweden,Both,Age-standardized,Asthma,Rate,2019,309.3343615070677,464.87331698814097,197.7296977925063
DALYs (Disability-Adjusted Life Years),Madagascar,Both,Age-standardized,Asthma,Rate,1990,1317.1938747725505,1569.4106067340522,1084.3085080888147
DALYs (Disability-Adjusted Life Years),Cook Islands,Both,Age-standardized,Asthma,Rate,1990,456.8411394179491,566.1081821799615,359.377753933912
DALYs (Disability-Adjusted Life Years),Afghanistan,Both,Age-standardized,Asthma,Rate,1990,1246.6287671128428,1671.3187335940704,870.0157627740084
DALYs (Disability-Adjusted Life Years),Niger,Both,Age-standardized,Asthma,Rate,2019,572.3663809680219,780.6493866351957,412.7141993060691
DALYs (Disability-Adjusted Life Years),Equatorial Guinea,Both,Age-standardized,Asthma,Rate,1990,1092.6256990559737,1657.256692153377,739.418655385029
DALYs (Disability-Adjusted Life Years),Albania,Both,Age-standardized,Asthma,Rate,1990,301.9395475078505,364.11618592504755,248.16100679396737
DALYs (Disability-Adjusted Life Years),Costa Rica,Both,Age-standardized,Asthma,Rate,2019,248.28966445023343,364.91282559348736,165.89527747589145
DALYs (Disability-Adjusted Life Years),Fiji,Both,Age-standardized,Asthma,Rate,1990,2081.3990690369174,2534.027554001094,1684.1206089748712
DALYs (Disability-Adjusted Life Years),Bulgaria,Both,Age-standardized,Asthma,Rate,1990,213.74329648416523,294.38997153559876,153.7729837709682
DALYs (Disability-Adjusted Life Years),Turkmenistan,Both,Age-standardized,Asthma,Rate,2019,113.6500441492672,159.22986894185246,78.77205964044403
DALYs (Disability-Adjusted Life Years),Botswana,Both,Age-standardized,Asthma,Rate,1990,907.9749441754722,1252.5769156072852,656.1739156350264
DALYs (Disability-Adjusted Life Years),Montenegro,Both,Age-standardized,Asthma,Rate,2019,148.37067200496392,223.3439425606124,94.72457376979905
DALYs (Disability-Adjusted Life Years),Mali,Both,Age-standardized,Asthma,Rate,2019,602.7671075261932,813.2512606185468,429.3506269310643
DALYs (Disability-Adjusted Life Years),Guatemala,Both,Age-standardized,Asthma,Rate,1990,680.429645236257,817.6742816489761,522.2087817380724
DALYs (Disability-Adjusted Life Years),Lao People's Democratic Republic,Both,Age-standardized,Asthma,Rate,1990,1554.2440512298192,1932.4840002396318,1146.8560793039535
DALYs (Disability-Adjusted Life Years),Cameroon,Both,Age-standardized,Asthma,Rate,2019,395.84855697352697,514.7099102178732,301.77314556213764
DALYs (Disability-Adjusted Life Years),Ethiopia,Both,Age-standardized,Asthma,Rate,2019,314.00763818840636,431.5831055677555,245.38153777320574
DALYs (Disability-Adjusted Life Years),Brazil,Both,Age-standardized,Asthma,Rate,2019,226.69512002538866,339.0100716398085,154.2161653426467
DALYs (Disability-Adjusted Life Years),Nauru,Both,Age-standardized,Asthma,Rate,2019,591.6530054127722,770.1803344420828,395.65330004127907
DALYs (Disability-Adjusted Life Years),Vanuatu,Both,Age-standardized,Asthma,Rate,2019,791.3549474290089,1103.5417938763476,577.4801718108849
DALYs (Disability-Adjusted Life Years),Bahrain,Both,Age-standardized,Asthma,Rate,1990,496.9619981737782,600.0930340715427,415.8447388657979
DALYs (Disability-Adjusted Life Years),Tonga,Both,Age-standardized,Asthma,Rate,2019,360.6920481700518,446.8085727572066,278.4427865085642
DALYs (Disability-Adjusted Life Years),Israel,Both,Age-standardized,Asthma,Rate,1990,357.0011245864993,481.8397269436511,261.29375406825034
DALYs (Disability-Adjusted Life Years),Uzbekistan,Both,Age-standardized,Asthma,Rate,2019,265.51206129800113,351.74212893371663,209.6621935123813
DALYs (Disability-Adjusted Life Years),Timor-Leste,Both,Age-standardized,Asthma,Rate,2019,542.7301504848409,724.3888410336565,394.0418024744359
DALYs (Disability-Adjusted Life Years),Oman,Both,Age-standardized,Asthma,Rate,1990,160.28258823253736,223.95582528652588,112.26710754722133
